,A comparative experiment was conducted,A novel model/method was developed,Did the authors implement a Bayesian technique?,Did the authors use a Frequentist technique?,Did the model account for correlation among experts?,"Experts depended on data that could be updated, revised, or rapidly change?",Experts were given data related to the forecasting target?,How many expert forecasters were included?,How many total forecasts were made?,Identify the primary predictive target?,List terms specific to aggregating crowdsourced data and quoted definition,Please list covariates included in any model,The model combined point estimates,The model combined probabilistic distributions,The model was nonparametric,The model was parametric,The primary target was categorical,The primary target was continuous,The primary target was from a time series,What evaluation metrics were used?,What models were used in forecasting?,manuscript,notes
0,N,N,N,N,N,N,N,,1,population size of birds,"The carrying capacity (i.e., expected population size over the long term in the absence of harvest) is difficult to estimate without a sufficiently long time series of population and harvest estimates. Lacking such data, we elicited expert judgments from several individuals studying taiga bean geese breeding in Fennoscandia. Using this value and the 90% confidence limits for the relative size of K , we fit a log-normal distribution to describe the uncertainty about the absolute value of K ~ logN(4.475,0.042)","Carrying capacity, harvest rate, population size, density dependence, growth rate",N,N,N,Y,N,Y,Y,none,"markov decision process, theta-logistic dynamical system",b'10.1002:eap.1659.pdf',they used experts to estimate a paramter needed for the model. Real data on this paramter is sparse.
1,N,Y,N,Y,N,N,Y,11,15,15 different caliber variables(Biomass-Production-Consumption-Diet composition),"the theory fo strcinly proper scoring rules is invoked to combine these measures as a ""product with cutoff"", whereby an exerpt is unweighted if statistical accuracy falls beneath a threshold value.; performance weighted combination",expert percentiles and weights,Y,N,N,N,Y,Y,Y,Statistical accuracy and shannon entropy,"weighted combination of experts 10,50,amd90 percentile",b'10.1002:ieam.1559.pdf',TU delft expert judgement database. The majority of their combinations included only a few expert combinations. Poorly written. 
2,N,Y,N,N,N,Y,Y,,1,Ecological quality Index,," water resource availability (WRA), soil erosion (SE), soil salinization (SS), land desertification (LD), forest destruction (FD), water quality (WQ), air quality (AQ) and biological diversity (BD)",N,N,N,N,N,Y,N,None,Sum,b'10.1007:s00267-011-9794-1.pdf',Unrelated really. Used the Delphi Technique to estimate specific paramters
3,N,Y,N,Y,N,Y,N,7,1,number of defects,"monte carlo sampling, from a uniformly distributed set of trangular probability distributions, one for each expert. Causal model for expert elicitation","Defects, Effectivness,",N,Y,N,Y,N,Y,N,Relative differences in average,Linear regression with monte carlo sampling,b'10.1007:s10664-009-9112-1.pdf',
4,Y,N,N,Y,N,N,Y,36,10,Entry of a product into the market,"knowledge-base,a set of expert predictiions;knowledge aggregation;",7 variables related to products and the experts produt decision. ,Y,N,Y,Y,Y,N,N,"robustness,rate of correct prediction;predictive ability,rate of correct prediction test set;adaptability, rate of prediction for other test set","Discriminant analysis,logistic regression,ID3,k-NN,neural network",b'10.1016:0957-4174(95)00049-6.pdf',they used models to learn how experts judge and aggregated this expert judgement. The idea was to represent expert judgement and generalize to diff scenasrios
5,N,N,Y,N,Y,N,Y,5,1,change in precipitation and 10 year peak precipitation at Yucca mountain,expert elicitation,,N,Y,N,Y,N,Y,N,visual,"mixture distribution, weighted average",b'10.1016:S0306-4549(96)00052-7.pdf',
6,Y,N,N,Y,N,N,N,7,100000,rank of objectives,stratgetic voting,rank order,Y,N,Y,N,N,N,N,ordered and unordered objective,trimmed mean,b'10.1016:S0377-2217(01)00226-0.pdf',
9,Y,Y,N,N,N,Y,Y/N,2,55,monthly product demans,"voluntary integration,a judicial forecaster decides how to use or adjust a statistical forecast; mechanical integration, a subjectively generated and statistical forecast are combined","customer forecast, expert forecast, ARIMA,TSAD",N,N,Y,N,N,Y,Y,cumulative forecast error,fuzzy set theory,b'10.1016:j.fss.2006.03.011.pdf',
10,N,Y,N,N,Y/N,Y,Y,16,2,"number of tourist arrivals, tourist expenditures, and demand for hotel rooms","judgemental adjustment,allowing users to adjust a statistical forecast ",time series of historical tourist demand,Y,N,Y,N,N,Y,Y,"MAE,MAPE,RMSE",ARIMA,b'10.1016:j.ijforecast.2011.12.003.pdf',
11,Y,Y,Y,N,Y,N,N,5,5000,a simulation from 3 different distributions,dynamic reliability;Laplacian principle of indifference;qudratic scoring rule;,just the time series,N,Y,N,Y,Y,Y,N,proportion of times  model X places higher density in the true value comapred to model Y,beta binomial,b'10.1016:j.ress.2016.10.008.pdf',Bunn is a seminal work. Include
12,N,N,Y,N,Y,N,N,,0,any categorical or continuous target,mathematical combination; behavioral combination,expert point forecasts or probability distributions,N,Y,Y,Y,Y,Y,N,none,"indepdence,genest and schervish,bernoulli,normal",b'10.1017:CBO9780511611308.010.pdf',review
13,Y,N,N,N,N,Y,N,14,11,voters share of  presidential election,,"expert judgement,index models, econometric models, predictions market",Y,N,Y,N,N,Y,Y,MAE,index and econometric models,b'10.1017:S1049096514000341.pdf',
14,N,N,Y,N,N,N,N,1,0,probability of aquafier contaimnation within 100 years,,"probability of spill, and remediation",N,N,N,Y,Y,N,N,none,decision tree,b'10.1029:2007GL029245.pdf',very weak paper
15,Y,N,N,Y,N,N,N,8,34,"amount of rainfall, duration, and intensity",Cookes method,expert judgements,N,Y,Y,N,N,Y,Y,"calibration,information score,dependence score,realtive entropy,hellinger distance",Copula,b'10.1061:AJRUA6.0000914.pdf',a lot of interesting metrics in this paper worth exploring
16,N,N,N,N,N,N,N,,,none,"expert elicitation,cognitive bias,",none,N,N,N,N,N,N,N,none,none,b'10.1073:pnas.1319946111.pdf',review of personal experience
17,N,N,N,Y,N,N,N,2,2,fish kills,,number of hypoxic days,Y,N,N,Y,N,Y,N,none,"nominal group technique,graphical model",b'10.1080:10807030490438454.pdf',
18,Y,Y,N,N,N,N,Y,6,1,number of atomic bombs,group decision making;degree of agreement;distribution function aggregation,probability of atomic bomb stockpiles,N,Y,Y,N,N,Y,N,none,"qudratic programming,simulated annealing,group consensus",b'10.1109:TSMC.2016.2531647.pdf',
22,Y,N,N,Y,N,N,N,150,155,IARPA questions from Good Judgement,structured eliciation;Cookes method,,Y,N,N,Y,Y,N,N,"briar score,length of uncertainity interval",none,b'10.1111:risa.12992.pdf',
23,N,Y,N,N,N,Y,Y,2,1,monthly demand of a product,triangular possibility distribution;fuzzy logic,statistical and judgemental forecasts,N,Y,N,Y,N,Y,Y,"RMSE,visual inspection",ARIMA;exponential smoothing;trend estimation;moving average,b'10.1142:9789812799470_0012.pdf',they used RMSE for individual models but only visual inspection for aggregate approach
24,Y,Y,Y,N,N,Y,N,30,integer,container throughput,,"month of feb, crises,autoreg terms",N,Y,N,Y,N,Y,Y,"RMSE,MAPE,TPE","ARIMA,BP-ANN,linear regression",b'10.1142:S0219622016500085.pdf',two interesting things here: They combined many judgements by Delphi and used this combined judgement in a model. They also assumed humans can only predict on a smoother trend than a statistical model.
25,Y,Y,N,N,N,Y,N,,,percentage of vote for presidential race,prediction market;,,Y,N,N,N,N,Y,Y,MAE,"polls,prediction markets,quantitiative models,expert judgement,voter expectations",b'10.1177:2053168015570416.pdf',
26,Y,Y,Y/N,N,Y,Y,N,2365,166,binary political questions,"calibration;sharpness;crowd belief,combining probabilities into a single consensus",characteristics of experts,Y,N,N,Y,Y,N,Y,"qudratic loss,absolute loss",random walk state-space model logit,b'10.1214:14-AOAS739.pdf',
28,N,Y,N,Y,Y,N,Y,3,10000,dirving risk from Intelligent cabin truck for road transpor project,reasonable neighbors,truck covariates,Y,N,N,Y,N,Y,N,mean quadratic error;maximum absolute error,linear regression;nearest neighbors,b'10.3390:s121114711.pdf',
30,N,N,N,Y,N,N,Y,34,8,website accessability,,characteristics of websites and user judgements,Y,N,N,Y,Y,N,N,none,Neural network,b'Adams-_Acceptability_Predictor_for_Websites.pdf',
31,N,N,Y,N,N,N,N,,,strcutural performance,,paramters of structural integrety,N,Y,N,Y,N,Y,N,none,random effects model with a term for expert judgement,b'Life-cycle performance of structures- combining expert judgment and results of inspection.pdf',
32,Y,N,N,N,N,Y,N,17,452,election outcomes,"term,def;term;def",fundementals for political prediction,Y,N,Y,N,Y,N,Y,MAE,equally-weighted model;rolling average,"b'Predicting elections- Experts, polls, and fundamentals.pdf'",
33,N,N,N,N,N,N,N,2,4,salmon population,adaptive management;,paramters of nature reservoir,Y,Y,Y,N,N,Y,N,none,"decion tree and monte carlo simulation, combining expert decisions",b'Using expert judgment and stakeholder values to evaluate adaptive management options.pdf',
