,TI,AB,DI,PY,tcmRelated,gcgRelated,ngrRelated,nwRelated,reviewer,2ndReviewer,agree,include
0,"Comparative efficiency of informal (subjective, impressionistic) and formal (mechanical, algorithmic) prediction procedures: The clinical-statistical controversy","Given a data set about an individual or a group (e.g., interviewer ratings, life history or demographic facts, test results, self-descriptions), there are two modes of data combination for a predictive or diagnostic purpose. The clinical method relies on human judgment that is based on informal contemplation and, sometimes, discussion with others (e.g., case conferences). The mechanical method involves a formal, algorithmic, objective procedure (e.g., equation) to reach the decision. Empirical comparisons of the accuracy of the two methods (136 studies over a wide range of predictands) show that the mechanical method is almost invariably equal to or superior to the clinical method: Common antiactuarial arguments are rebutted, possible causes of widespread resistance to the comparative research are offered, and policy implications of the statistical method's superiority are discussed.",10.1037/1076-8971.2.2.293,1996,1,1.0,0.0,0.0,gcg,1.0,1,1
1,Combining probability distributions from experts in risk analysis,"This paper concerns the combination of experts' probability distributions in risk analysis, discussing a variety of combination methods and attempting to highlight the important conceptual and practical issues to be considered in designing a combination process in practice. The role of experts is important because their judgments can provide valuable information, particularly in view of the limited availability of ""hard data"" regarding many important uncertainties in risk analysis. Because uncertainties are represented in terms of probability distributions in probabilistic risk analysis (PRA), we consider expert information in terms of probability distributions. The motivation for the use of multiple experts is simply the desire to obtain as much information as possible. Combining experts' probability distributions summarizes the accumulated information for risk analysts and decision-makers. Procedures for combining probability distributions are often compartmentalized as mathematical aggregation methods or behavioral approaches, and we discuss both categories. However, an overall aggregation process could involve both mathematical and behavioral aspects, and no single process is best in all circumstances. An understanding of the pros and cons of different methods and the key issues to consider is valuable in the design of a combination process for a specific PRA. The output, a ""combined probability distribution,"" can ideally be viewed as representing a summary of the current state of expert opinion regarding the uncertainty of interest.",10.1111/j.1539-6924.1999.tb00399.x,1999,1,0.0,0.0,1.0,nw,1.0,1,1
2,"HUMAN FACIAL BEAUTY - AVERAGENESS, SYMMETRY, AND PARASITE RESISTANCE","It is hypothesized that human faces judged to be attractive by people possess two features-averageness and symmetry-that promoted adaptive mate selection in human evolutionary history by way of production of offspring with parasite resistance. Facial composites made by combining individual faces are judged to be attractive, and more attractive than the majority of individual faces. The composites possess both symmetry and averageness of features. Facial averageness may reflect high individual protein heterozygosity and thus an array of proteins to which parasites must adapt. Heterozygosity may be an important defense of long-lived hosts against parasites when it occurs in portions of.the genome that do not code for the essential features of complex adaptations. In this case heterozygosity can create a hostile microenvironment for parasites without disrupting adaptation. Facial bilateral symmetry is hypothesized to affect positive beauty judgments because symmetry is a certification of overall phenotypic quality and developmental health, which may be importantly influenced by parasites. Certain secondary sexual traits are influenced by testosterone, a hormone that reduces immunocompetence. Symmetry and size of the secondary sexual traits of the face (e.g., cheek bones) are expected to correlate positively and advertise immunocompetence honestly and therefore to affect positive beauty judgments. Facial attractiveness is predicted to correlate with attractive, nonfacial secondary sexual traits; other predictions from the view that parasite-driven selection led to the evolution of psychological adaptations of human beauty perception are discussed. The view that human physical attractiveness and judgments about human physical attractiveness evolved in the context of parasite-driven selection leads to the hypothesis that both adults and children have a species-typical adaptation to the problem of identifying and favoring healthy individuals and avoiding parasite-susceptible individuals. It is proposed that this adaptation guides human decisions about nepotism and reciprocity in relation to physical attractiveness.",10.1007/BF02692201,1993,0,0.0,0.0,0.0,ngr,0.0,1,0
3,Eliciting Expert Knowledge in Conservation Science,"Expert knowledge is used widely in the science and practice of conservation because of the complexity of problems, relative lack of data, and the imminent nature of many conservation decisions. Expert knowledge is substantive information on a particular topic that is not widely known by others. An expert is someone who holds this knowledge and who is often deferred to in its interpretation. We refer to predictions by experts of what may happen in a particular context as expert judgments. In general, an expert-elicitation approach consists of five steps: deciding how information will be used, determining what to elicit, designing the elicitation process, performing the elicitation, and translating the elicited information into quantitative statements that can be used in a model or directly to make decisions. This last step is known as encoding. Some of the considerations in eliciting expert knowledge include determining how to work with multiple experts and how to combine multiple judgments, minimizing bias in the elicited information, and verifying the accuracy of expert information. We highlight structured elicitation techniques that, if adopted, will improve the accuracy and information content of expert judgment and ensure uncertainty is captured accurately. We suggest four aspects of an expert elicitation exercise be examined to determine its comprehensiveness and effectiveness: study design and context, elicitation design, elicitation method, and elicitation output. Just as the reliability of empirical data depends on the rigor with which it was acquired so too does that of expert knowledge.",10.1111/j.1523-1739.2011.01806.x,2012,1,0.0,0.0,1.0,nw,1.0,1,1
4,Do humans optimally integrate stereo and texture information for judgments of surface slant?,"An optimal linear system for integrating Visual cues to 3D surface geometry weights Cues ill inverse proportion to their uncertainty. The problem of integrating texture and stereo information for judgments of planar surface slant provides a strong test of optimality in human perception. Since the accuracy of slant from texture judgments changes by an order of magnitude from low to high slants, optimality predicts corresponding changes in cue weights as a function Of Surface slant. Furthermore, Since humans show significant individual differences in their abilities to use both texture and stereo information for judgments of 3D Surface geometry, the problem admits the stronger test that individual differences in subjects' thresholds for discriminating slant from the individual cues should predict individual differences in cue weights. We tested both predictions by measuring slant discrimination thresholds and stereo/texture cue weights as a function of surface slant for multiple subjects. The results bear Out both predictions of optimality, with the exception of an apparent slight under-weighting Of texture information. This may be accounted for by factors specific to the Stimuli used to isolate stereo information in the experiments. Taken together, the results are consistent with the hypothesis that humans optimally combine the two cues to surface slant, with Cue weights proportional to the subjective reliability of the cues. (C) 2003 Elsevier Ltd. All rights reserved.",10.1016/S0042-6989(03)00458-9,2003,0,0.0,0.0,0.0,gcg,0.0,1,0
5,A review of studies on expert estimation of software development effort,"This paper provides an extensive review of studies related to expert estimation of software development effort. The main goal and contribution of the review is to support the research on expert estimation, e.g., to ease other researcher's search for relevant expert estimation studies. In addition, we provide software practitioners with useful estimation guidelines, based on the research-based knowledge of expert estimation processes. The review results suggest that expert estimation is the most frequently applied estimation strategy for software projects, that there is no substantial evidence in favour of use of estimation models, and that there are situations where we can expect expert estimates to be more accurate than formal estimation models. The following 12 expert estimation ""best practice"" guidelines are evaluated through the review: (1) evaluate estimation accuracy, but avoid high evaluation pressure; (2) avoid conflicting estimation goals; (3) ask the estimators to justify and criticize their estimates; (4) avoid irrelevant and unreliable estimation information; (5) use documented data from previous development tasks; (6) find estimation experts with relevant domain background and good estimation records; (7) Estimate top-down and bottom-up, independently of each other; (8) use estimation checklists; (9) combine estimates from different experts and estimation strategies; (10) assess the uncertainty of the estimate; (11) provide feedback on estimation accuracy and development task relations; and, (12) provide estimation training opportunities. We found supporting evidence for all 12 estimation principles, and provide suggestions on how to implement them in software organizations. (C) 2002 Elsevier Inc. All rights reserved.",10.1016/S0164-1212(02)00156-5,2004,0,0.0,0.0,1.0,nw,1.0,0,0
6,Intuitions about combining opinions: Misappreciation of the averaging principle,"Averaging estimates is an effective way to improve accuracy when combining expert judgments, integrating group members' judgments, or using advice to modify personal judgments. If the estimates of two judges ever fall on different sides of the truth, which we term bracketing, averaging must outperform the average judge for convex loss functions, such as mean absolute deviation (MAD). We hypothesized that people often hold incorrect beliefs about averaging, falsely concluding that the average of two judges' estimates would be no more accurate than the average judge. The experiments confirmed that this misconception was common across a range of tasks that involved reasoning from summary data (Experiment 1), from specific instances (Experiment 2), and conceptually (Experiment 3). However, this misconception decreased as observed or assumed bracketing rate increased (all three studies) and when bracketing was made more transparent (Experiment 2). Experiment 4 showed that flawed inferential rules and poor extensional reasoning abilities contributed to the misconception. We conclude by describing how people may face few opportunities to learn the benefits of averaging and how misappreciating averaging contributes to poor intuitive strategies for combining estimates.",10.1287/mnsc.1050.0459,2006,1,0.0,0.0,1.0,nw,1.0,1,1
7,Use (and abuse) of expert elicitation in support of decision making for public policy,"The elicitation of scientific and technical judgments from experts, in the form of subjective probability distributions, can be a valuable addition to other forms of evidence in support of public policy decision making. This paper explores when it is sensible to perform such elicitation and how that can best be done. A number of key issues are discussed, including topics on which there are, and are not, experts who have knowledge that provides a basis for making informed predictive judgments; the inadequacy of only using qualitative uncertainty language; the role of cognitive heuristics and of overconfidence; the choice of experts; the development, refinement, and iterative testing of elicitation protocols that are designed to help experts to consider systematically all relevant knowledge when they make their judgments; the treatment of uncertainty about model functional form; diversity of expert opinion; and when it does or does not make sense to combine judgments from different experts. Although it may be tempting to view expert elicitation as a low-cost, low-effort alternative to conducting serious research and analysis, it is neither. Rather, expert elicitation should build on and use the best available research and analysis and be undertaken only when, given those, the state of knowledge will remain insufficient to support timely informed assessment and decision making.",10.1073/pnas.1319946111,2014,1,0.0,1.0,0.0,ngr,1.0,1,1
8,Bayesian forecasting for complex systems using computer simulators,"Although computer models are often used for forecasting future outcomes of complex systems, the uncertainties in such forecasts are not usually treated formally. We describe a general Bayesian approach for using a computer model or simulator of a complex system to forecast system outcomes. The approach is based on constructing beliefs derived from a combination of expert judgments and experiments on the computer model. These beliefs, which are systematically updated as we make runs of the computer model, are used for either Bayesian or Bayes linear forecasting for the system. Issues of design and diagnostics are described in the context of forecasting. The methodology is applied to forecasting for an active hydrocarbon reservoir.",10.1198/016214501753168370,2001,1,0.0,0.0,1.0,nw,1.0,1,1
9,Landslide susceptibility assessment by bivariate methods at large scales: Application to a complex mountainous environment,"Statistical assessment of landslide susceptibility has become a major topic of research in the last decade. Most progress has been accomplished on producing susceptibility maps at meso-scales (1:50,000-1:25,000). At 1:10,000 scale, which is the scale of production of most regulatory landslide hazard and risk maps in Europe, few tests on the performance of these methods have been performed. This paper presents a procedure to identify the best variables for landslide susceptibility assessment through a bivariate technique (weights of evidence, WOE) and discusses the best way to minimize conditional independence (CI) between the predictive variables. Indeed, violating Cl can severely bias the simulated maps by over- or under-estimating landslide probabilities. The proposed strategy includes four steps: (i) identification of the best response variable (RV) to represent landslide events, (ii) identification of the best combination of predictive variables (PVs) and neo-predictive variables (nPVs) to increase the performance of the statistical model, (iii) evaluation of the performance of the simulations by appropriate tests, and (iv) evaluation of the statistical model by expert judgment. The study site is the north-facing hillslope of the Barcelonnette Basin (France), affected by several types of landslides and characterized by a complex morphology. Results indicate that bivariate methods are powerful to assess landslide susceptibility at 1: 10,000 scale. However, the method is limited from a geomorphological viewpoint when RVs and PVs are complex or poorly informative. It is demonstrated that expert knowledge has still to be introduced in statistical models to produce reliable landslide susceptibility maps. (c) 2007 Elsevier B.V. All rights reserved.",10.1016/j.geomorph.2007.02.020,2007,0,0.0,0.0,0.0,gcg,0.0,1,0
