,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,EY,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA,Unnamed: 0,A comparative experiment was conducted,A novel model/method was developed,Did the authors implement a Bayesian technique?,Did the authors use a Frequentist technique?,Did the model account for correlation among experts?,"Experts depended on data that could be updated, revised, or rapidly change?",Experts were given data related to the forecasting target?,How many expert forecasters were included?,How many total forecasts were made?,Identify the primary predictive target?,List terms specific to aggregating crowdsourced data and quoted definition,Please list covariates included in any model,The model combined point estimates,The model combined probabilistic distributions,The model was nonparametric,The model was parametric,The primary target was categorical,The primary target was continuous,The primary target was from a time series,What evaluation metrics were used?,What models were used in forecasting?,manuscript,notes
0,J,"Morgan, MG",,,,"Morgan, M. Granger",,,Use (and abuse) of expert elicitation in support of decision making for public policy,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,English,Editorial Material,,,,,,,ELICITING PROBABILITY-DISTRIBUTIONS; FINE PARTICULATE MATTER; RD-AND-D; CLIMATE-CHANGE; RISK-ASSESSMENT; UNCERTAINTY ANALYSIS; NUSAP SYSTEM; JUDGMENTS; ASSESSMENTS; FUTURE,"The elicitation of scientific and technical judgments from experts, in the form of subjective probability distributions, can be a valuable addition to other forms of evidence in support of public policy decision making. This paper explores when it is sensible to perform such elicitation and how that can best be done. A number of key issues are discussed, including topics on which there are, and are not, experts who have knowledge that provides a basis for making informed predictive judgments; the inadequacy of only using qualitative uncertainty language; the role of cognitive heuristics and of overconfidence; the choice of experts; the development, refinement, and iterative testing of elicitation protocols that are designed to help experts to consider systematically all relevant knowledge when they make their judgments; the treatment of uncertainty about model functional form; diversity of expert opinion; and when it does or does not make sense to combine judgments from different experts. Although it may be tempting to view expert elicitation as a low-cost, low-effort alternative to conducting serious research and analysis, it is neither. Rather, expert elicitation should build on and use the best available research and analysis and be undertaken only when, given those, the state of knowledge will remain insufficient to support timely informed assessment and decision making.","Carnegie Mellon Univ, Dept Engn & Publ Policy, Pittsburgh, PA 15213 USA","Morgan, MG (reprint author), Carnegie Mellon Univ, Dept Engn & Publ Policy, Pittsburgh, PA 15213 USA.",granger.morgan@andrew.cmu.edu,,,,,,77,134,138,3,43,NATL ACAD SCIENCES,WASHINGTON,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",0027-8424,,,P NATL ACAD SCI USA,Proc. Natl. Acad. Sci. U. S. A.,20-May,2014,111.0,20,,,,,7176,7184,,10.1073/pnas.1319946111,,,,9,Multidisciplinary Sciences,Science & Technology - Other Topics,AH5KP,WOS:000336168100017,24821779.0,"Green Published, Bronze",,,3/15/19,16,N,N,N,N,N,N,N,,,none,"expert elicitation,cognitive bias,",none,N,N,N,N,N,N,N,none,none,b'10.1073:pnas.1319946111.pdf',review of personal experience
1,J,"Abramson, B; Brown, J; Edwards, W; Murphy, A; Winkler, RL",,,,"Abramson, B; Brown, J; Edwards, W; Murphy, A; Winkler, RL",,,Hailfinder: A Bayesian system for forecasting severe weather,INTERNATIONAL JOURNAL OF FORECASTING,,,English,Article,,,,,,Bayesian; belief networks; meteorology; system design; weather forecasting; intelligent systems; elicitation,BELIEF NETWORKS; EXPERT SYSTEMS; VERIFICATION,"Hailfinder is a Bayesian system that combines meteorological data and models with expert judgment, based on both experience and physical understanding, to forecast severe weather in Northeastern Colorado. The system is based on a model, known as a belief network (BN), that has recently emerged as the basis of some powerful intelligent systems. Hailfinder is the first such system to apply these Bayesian models in the realm of meteorology, a field that has served as the basis of many past investigations of probabilistic forecasting. The design of Hailfinder provides a variety of insights to designers of other BN-based systems, regardless of their fields of application.","CARNEGIE MELLON UNIV,DEPT ENGN & PUBL POLICY,PITTSBURGH,PA 15213; NOAA,FORECAST SYST LAB,BOULDER,CO 80303; WISE DECIS INC,STUDIO CITY,CA 91604; UNIV SO CALIF,SOCIAL SCI RES INST,LOS ANGELES,CA; PREDICT & EVALUAT SYST,CORVALLIS,OR 97330; DUKE UNIV,FUQUA SCH BUSINESS,DURHAM,NC 27708","Abramson, B (reprint author), CAMBRIDGE RES ASSOCIATES,1430 SPRING HILL RD,SUITE 200,MCLEAN,VA 22102, USA.",,"Brown, John/D-3361-2015",,,,,20,94,96,1,9,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0169-2070,,,INT J FORECASTING,Int. J. Forecast.,MAR,1996,12.0,1,,,,,57,71,,10.1016/0169-2070(95)00664-8,,,,15,Economics; Management,Business & Economics,UQ697,WOS:A1996UQ69700005,,,,,3/15/19,4,N,N,Y,N,N,Y,Y,Did not specify in paper,1,Weather scenario,"Hailfinder, ""is a Bayesian system that combines meteorological data and models with expert judgment, based onboth experience and physical understanding, to forecast severe weather in Northeastern Colorado. The system isbased on a model, known as a belief network (BN)...""","date, surfance wind shifts & discontinuities, wind fields/mountains, wind fields/plains, temperature discontinuities, dewpoints, winds aloft, mid-level lapse rate, low-level lapse rate, mean relative humidity, RH ratio, Movement of features, synoptic forcing",Y,Y,N,Y,Y,N,Y,"N/A (""One issue that remains unaddressed, ofcourse, is the system's performance."")",Bayesian belife network (BBN),b'10.1016:0169-2070(95)00664-8.pdf',
2,J,"EVANS, JS; GRAY, GM; SIELKEN, RL; SMITH, AE; VALDEZFLORES, C; GRAHAM, JD",,,,"EVANS, JS; GRAY, GM; SIELKEN, RL; SMITH, AE; VALDEZFLORES, C; GRAHAM, JD",,,USE OF PROBABILISTIC EXPERT JUDGMENT IN UNCERTAINTY ANALYSIS OF CARCINOGENIC POTENCY,REGULATORY TOXICOLOGY AND PHARMACOLOGY,,,English,Article,,,,,,,RISK ASSESSMENT; CANCER RISK; CHLOROFORM; MANAGEMENT; EXAMPLE; POLICY; MICE,"A new approach to characterizing the state of knowledge about carcinogenic potency is described. In this approach, the carcinogenic risk posed by a specific dose is characterized by a probability distribution, indicating the relative likelihood of different risk estimates. The approach utilizes expert judgment and a probability tree and is illustrated in a case study of chloroform exposure. Experts in cancer biology/toxicology, pharmacokinetics, and dose-response modeling were identified by a panel of science-policy specialists. In a workshop, experts reviewed the chloroform data, received training in probability elicitation, and constructed a consensual probability tree based on biological theories of cancer causation. Distributions of carcinogenic risk were developed based on the probability tree, chloroform data, judgmental probabilities provided by the experts, and classical statistical techniques. Risk distributions varied considerably between experts, with some predicting essentially no risk from 100 ppb chloroform in drinking water while others have at least some probability on risks generally considered of regulatory significance. Estimated human risk was much lower when extrapolating from liver tumors in animals than from kidney tumors. Issues of scientific disagreement leading to different risk distributions between experts are discussed. The resulting risk distributions are compared to standard EPA risk calculations for the same exposure scenario as well as to the expert judgments of epidemiologists about cancer risks of chlorinated drinking water. Issues in combining expert judgments are discussed, and several alternative methods are presented. Strengths and weaknesses of the distributional approach are discussed. (C) 1994 Academic Press, Inc.","HARVARD UNIV,SCH PUBL HLTH,DEPT ENVIRONM HLTH,BOSTON,MA 02115; HARVARD UNIV,SCH PUBL HLTH,CTR RISK ANAL,BOSTON,MA 02115; SIELKEN INC,BRYAN,TX 77802","EVANS, JS (reprint author), HARVARD UNIV,SCH PUBL HLTH,INTERDISCIPLINARY PROGRAMS HLTH,665 HUNTINGTON AVE,BOSTON,MA 02115, USA.",,,,,,,50,72,73,0,3,ACADEMIC PRESS INC JNL-COMP SUBSCRIPTIONS,SAN DIEGO,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495",0273-2300,,,REGUL TOXICOL PHARM,Regul. Toxicol. Pharmacol.,AUG,1994,20.0,1,1,,,,15,36,,10.1006/rtph.1994.1034,,,,22,"Medicine, Legal; Pharmacology & Pharmacy; Toxicology",Legal Medicine; Pharmacology & Pharmacy; Toxicology,PK381,WOS:A1994PK38100002,7838990.0,,,,3/15/19,1,N,Y,N,Y,N,N,Y,6,6 (these are not really forecasts),carcinogenic risk (%),"eliciting judgmental probabilities, ""The result of each interview was a set of expert judgments of the relative plausibility of each alternative for each level of the [probability] tree....an expert assigns probabilistic weight, which must be nonnegative and sum to 1, to each alternative based on his or her judgment of the scientific plausibility of each choice""","relative average sensitivity, human target organ, mode of action, dose scale, dose-response shape",N,Y,N,Y,N,Y,N,none,The final distribution for each expert is a summary of the hundreds of estimates of risk weighted by the experts' subjective probability that the path through the probability tree is correct,b'10.1006:rtph.1994.1034.pdf',
3,J,"Tartakovsky, DM",,,,"Tartakovsky, Daniel M.",,,Probabilistic risk analysis in subsurface hydrology,GEOPHYSICAL RESEARCH LETTERS,,,English,Article,,,,,,,CONTAMINATED GROUNDWATER; UNCERTAINTY; MANAGEMENT; FIELD; MODEL,"We present a general framework for probabilistic risk assessment (PRA) of subsurface contamination. PRA provides a natural venue for the rigorous quantification of structural (model) and parametric uncertainties inherent in predictions of subsurface flow and transport. A typical PRA starts by identifying relevant components of a subsurface system (e.g., a buried solid-waste tank, an aquitard, a remediation effort) and proceeds by using uncertainty quantification techniques to estimate the probabilities of their failure. These probabilities are then combined by means of fault-tree analyses to yield probabilistic estimates of the risk of system failure (e.g., aquifer contamination). Since PRA relies on subjective probabilities, it is ideally suited for assimilation of expert judgment and causal relationships.","Univ Calif San Diego, Dept Mech & Aerosp Engn, La Jolla, CA 92093 USA; Los Alamos Natl Lab, Div Theoret, Los Alamos, NM USA","Tartakovsky, DM (reprint author), Univ Calif San Diego, Dept Mech & Aerosp Engn, La Jolla, CA 92093 USA.",dmt@ucsd.edu,"Tartakovsky, Daniel/E-7694-2013",,,,,25,63,63,2,29,AMER GEOPHYSICAL UNION,WASHINGTON,"2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA",0094-8276,1944-8007,,GEOPHYS RES LETT,Geophys. Res. Lett.,15-Mar,2007,34.0,5,,,,,,,L05404,10.1029/2007GL029245,,,,5,"Geosciences, Multidisciplinary",Geology,147PY,WOS:000245016100008,,Green Published,,,3/15/19,14,N,N,Y,N,N,N,N,1,0,probability of aquafier contaimnation within 100 years,,"probability of spill, and remediation",N,N,N,Y,Y,N,N,none,decision tree,b'10.1029:2007GL029245.pdf',very weak paper
4,J,"Graefe, A; Armstrong, JS; Jones, RJ; Cuzan, AG",,,,"Graefe, Andreas; Armstrong, J. Scott; Jones, Randall J., Jr.; Cuzan, Alfred G.",,,Combining forecasts: An application to elections,INTERNATIONAL JOURNAL OF FORECASTING,,,English,Article,,,,,,Election forecasting; Combining; Prediction markets; Polls; Econometric models; Expert judgment,2012 PRESIDENTIAL-ELECTION; TRIAL-HEAT; PREDICTING ELECTIONS; TIME-SERIES; MODEL; POLLS; VOTE; COMBINATION; MARKETS; INFORMATION,"We summarize the literature on the effectiveness of combining forecasts by assessing the conditions under which combining is most valuable. Using data on the six US presidential elections from 1992 to 2012, we report the reductions in error obtained by averaging forecasts within and across four election forecasting methods: poll projections, expert judgment, quantitative models, and the Iowa Electronic Markets. Across the six elections, the resulting combined forecasts were more accurate than any individual component method, on average. The gains in accuracy from combining increased with the numbers of forecasts used, especially when these forecasts were based on different methods and different data, and in situations involving high levels of uncertainty. Such combining yielded error reductions of between 16% and 59%, compared to the average errors of the individual forecasts. This improvement is substantially greater than the 12% reduction in error that had been reported previously for combining forecasts. (C) 2013 International Institute of Forecasters. Published by Elsevier B.V. All rights reserved.","[Graefe, Andreas] Ludwig Maximilians Univ Munchen, Dept Commun Sci & Media Res, Munich, Germany; [Armstrong, J. Scott] Univ Penn, Wharton Sch, Philadelphia, PA 19104 USA; [Armstrong, J. Scott] Univ S Australia, Ehrenberg Bass Inst, Adelaide, SA 5001, Australia; [Jones, Randall J., Jr.] Univ Cent Oklahoma, Dept Polit Sci, Edmond, OK USA; [Cuzan, Alfred G.] Univ W Florida, Dept Govt, Pensacola, FL 32514 USA","Graefe, A (reprint author), Ludwig Maximilians Univ Munchen, Dept Commun Sci & Media Res, Munich, Germany.",a.graefe@lmu.de,,"Armstrong, J. Scott/0000-0003-0108-0471",,,,74,60,62,3,32,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0169-2070,1872-8200,,INT J FORECASTING,Int. J. Forecast.,JAN-MAR,2014,30.0,1,,,,,43,54,,10.1016/j.ijforecast.2013.02.005,,,,12,Economics; Management,Business & Economics,287RO,WOS:000329560100005,,,,,3/15/19,0,Y,N,N,Y,N,Y,N,,,two party popular vote,typical error,"pooling data, fundemantals,IEM",Y,N,Y,N,Y,N,Y,"typical error,combined error",equal weighting,b'10.1016:j.ijforecast.2013.02.005.pdf',
5,B,"Clemen, RT; Winkler, RL",,"Edwards, W; Miles, RF; VonWinterfeldt, D",,"Clemen, Robert T.; Winkler, Robert L.",,,Aggregating Probability Distributions,ADVANCES IN DECISION ANALYSIS: FROM FOUNDATIONS TO APPLICATIONS,,,English,Article; Book Chapter,,,,,,,DEPENDENT INFORMATION-SOURCES; COMPLEX TECHNICAL PROBLEMS; SOCIAL JUDGMENT ANALYSIS; EXPERT JUDGMENT; RISK ANALYSIS; COMBINING FORECASTS; BAYESIAN-APPROACH; DECISION ANALYSIS; OPINION POOL; COMBINATION,"This chapter is concerned with the aggregation of probability distributions in decision and risk analysis. Experts often provide valuable information regarding important uncertainties in decision and risk analyses because of the limited availability of hard data to use in those analyses. Multiple experts are often consulted in order to obtain as much information as possible, leading to the problem of how to combine or aggregate their information. Information may also be obtained from other sources such as forecasting techniques or scientific models. Because uncertainties are typically represented in terms of probability distributions, we consider expert and other information in terms of probability distributions. We discuss a variety of models that lead to specific combination methods. The output of these methods is a combined probability distribution, which can be viewed as representing a summary of the current state of information regarding the uncertainty of interest. After presenting the models and methods, we discuss empirical evidence on the performance of the methods. In the conclusion, we highlight important conceptual and practical issues to be considered when designing a combination process for use in practice.","[Clemen, Robert T.; Winkler, Robert L.] Duke Univ, Fuqua Sch Business, Durham, NC 27706 USA","Clemen, RT (reprint author), Duke Univ, Fuqua Sch Business, Durham, NC 27706 USA.",,,,,,,97,59,59,0,2,CAMBRIDGE UNIV PRESS,CAMBRIDGE,"THE PITT BUILDING, TRUMPINGTON ST, CAMBRIDGE CB2 1RP, CAMBS, ENGLAND",,,978-0-52186-368-1,,,,2007,,,,,,,154,176,,10.1017/CBO9780511611308.010,10.1017/CBO9780511611308,,,23,"Psychology, Applied",Psychology,BXL31,WOS:000296286100010,,,,,3/15/19,12,N,N,Y,N,Y,N,N,,0,any categorical or continuous target,mathematical combination; behavioral combination,expert point forecasts or probability distributions,N,Y,Y,Y,Y,Y,N,none,"indepdence,genest and schervish,bernoulli,normal",b'10.1017:CBO9780511611308.010.pdf',review
6,J,"Mantyka-Pringle, CS; Martin, TG; Moffatt, DB; Linke, S; Rhodes, JR",,,,"Mantyka-Pringle, Chrystal S.; Martin, Tara G.; Moffatt, David B.; Linke, Simon; Rhodes, Jonathan R.",,,Understanding and predicting the combined effects of climate change and land-use change on freshwater macroinvertebrates and fish,JOURNAL OF APPLIED ECOLOGY,,,English,Article,,,,,,multiple stressors; restoration; interactions; urbanization; riparian vegetation; water quality; freshwater biodiversity; management; land-cover change; Bayesian belief network,BAYESIAN BELIEF NETWORKS; MULTIPLE STRESSORS; BIODIVERSITY CONSERVATION; HABITAT FRAGMENTATION; GLOBAL CHANGE; STREAM; ECOSYSTEMS; RIVER; VEGETATION; MANAGEMENT,"Climate change and land-use change are having substantial impacts on biodiversity world-wide, but few studies have considered the impact of these factors together. If the combined effects of climate and land-use change are greater than the effects of each threat individually, current conservation management strategies may be inefficient and/or ineffective. This is particularly important with respect to freshwater ecosystems because freshwater biodiversity has declined faster than either terrestrial or marine biodiversity over the last three decades. This is the first study to model the independent and combined effects of climate change and land-use change on freshwater macroinvertebrates and fish. Using a case study in south-east Queensland, Australia, we built a Bayesian belief network populated with a combination of field data, simulations, existing models and expert judgment. Different land-use and climate scenarios were used to make predictions on how the richness of freshwater macroinvertebrates and fish is likely to respond in future. We discovered little change in richness averaged across the region, but identified important impacts and effects at finer scales. High nutrients and high runoff as a result of urbanization combined with high nutrients and high water temperature as a result of climate change and were the leading drivers of potential declines in macroinvertebrates and fish at fine scales. Synthesis and applications. This is the first study to separate out the constituent drivers of impacts on biodiversity that result from climate change and land-use change. Mitigation requires management actions that reduce in-stream nutrients, slows terrestrial runoff and provides shade, to improve the resilience of biodiversity in streams. Encouragingly, the restoration of riparian habitats is identified as an important buffering tool that can mitigate the negative effects of climate change and land-use change.","[Mantyka-Pringle, Chrystal S.; Rhodes, Jonathan R.] Univ Queensland, Sch Geog Planning & Environm Management, Brisbane, Qld 4072, Australia; [Mantyka-Pringle, Chrystal S.; Martin, Tara G.; Rhodes, Jonathan R.] Univ Queensland, Australian Res Council, Ctr Excellence Environm Decis, Brisbane, Qld 4072, Australia; [Mantyka-Pringle, Chrystal S.; Martin, Tara G.] CSIRO Ecosystem Sci, Climate Adaptat Flagship, Brisbane, Qld 4102, Australia; [Moffatt, David B.] Dept Sci Informat Technol Innovat & Arts, Brisbane, Qld 4001, Australia; [Linke, Simon] Griffith Univ, Australian Rivers Inst, Nathan, Qld 4111, Australia","Mantyka-Pringle, CS (reprint author), Univ Queensland, Sch Geog Planning & Environm Management, Brisbane, Qld 4072, Australia.",c.mantykapringle@uq.edu.au,"Rhodes, Jonathan/C-4841-2008; Martin, Tara/M-1897-2016; Mantyka-Pringle, Chrystal/D-9185-2015","Rhodes, Jonathan/0000-0001-6746-7412; Martin, Tara/0000-0001-7165-9812; Moffatt, David/0000-0003-1170-9464; Linke, Simon/0000-0002-1797-3947",Queensland Government Smart Futures PhD Scholarship; Australian Government; SEQ Climate Adaptation Research Initiative; Australian Government's National Environmental Research Program; Australian Research Council's Centre of Excellence for Environmental Decisions,"This project would not have been possible without the generous contribution of time and expertise from P. Negus, Queensland Department of Science, Information Technology, Innovation and the Arts (DSITIA), and two other anonymous experts in aquatic ecology. DSITIA provided the EHMP data used in our analyses. We thank D. Pullar, J. Corcoran and M. Bell for their assistance with the Large Scale Urban Model. We thank J. Stein for help with the Australian Hydrological Geofabric. We are also grateful for the comments and inputs from G. McGregor (DSITIA), and the reviewers of this manuscript. Research was funded in part by a Queensland Government Smart Futures PhD Scholarship (C.M.P.) and an Australian Government Postgraduate Award (C.M.P.). This research was also conducted with the support of funding from the SEQ Climate Adaptation Research Initiative, the Australian Government's National Environmental Research Program and the Australian Research Council's Centre of Excellence for Environmental Decisions.",,65,54,55,13,217,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0021-8901,1365-2664,,J APPL ECOL,J. Appl. Ecol.,JUN,2014,51.0,3,,,,,572,581,,10.1111/1365-2664.12236,,,,10,Biodiversity Conservation; Ecology,Biodiversity & Conservation; Environmental Sciences & Ecology,AH2PA,WOS:000335962200003,,,,,3/15/19,8,N,N,Y,N,N,Y,Y,"Did not explicitly specify in paper, but mention 3 experts in the Acknowledgement",5 (scenarios),differences in the mean magnitude of change of macroinvertebrates and fish (averaged across all EHMP sites = regional scale) between current climate and landuse conditions and the modelled future conditions for different scenarios,"conditional probability table (CPT),""a conditional probability table (CPT) that specifies the probabilityof each state conditional on other variables (Marcot 2006). ABBN framework was chosen to model this system because of itsability to model interactions within the CPTs, and integrate empiricaldata with expert knowledge""","Air temperature, Precipitation, Rainfall variability, Impervious cover, Riparian cover, Water temperature, Runoff, Nitrogen, Phosphorus, Nutrients, Elevation",N,Y,N,Y,N,Y,Y,Friedman test,Bayesian belife network (BBN),b'10.1111:1365-2664.12236.pdf',
7,J,"Zio, E",,,,"Zio, E",,,On the use of the analytic hierarchy process in the aggregation of expert judgments,RELIABILITY ENGINEERING & SYSTEM SAFETY,,,English,Article,,,,,,,UNCERTAINTY,"Expert judgments are involved in many aspects of scientific research, either formally or informally. In order to combine the different opinions elicited, simple aggregation methods have often been used with the result that expert biases, interexpert dependencies and other factors which might affect the judgments of the experts are often ignored. A more comprehensive approach, based on the analytic hierarchy process, is proposed in this paper to account for the large variety of factors influencing the experts. A structured hierarchy is constructed to decompose the overall problem in the elementary factors that can influence the expert's judgments. The importance of the different elements of the hierarchy is then assessed by pairwise comparison. The overall approach is simple, presents a systematic character and offers a good degree of flexibility. The approach provides the decision maker with a tool to quantitatively measure the significance of the judgments provided by the different experts involved in the elicitation. The resulting values can be used as weights in an aggregation scheme such as, for example, the simple weighted averaging scheme. Two applications of the approach are presented with reference to case studies of formal expert judgment elicitation previously analyzed in literature: the elicitation of the pressure increment in the containment building of the Sequoyah nuclear power plant following reactor vessel breach, and the prediction of the future changes in precipitation in the vicinity of Yucca Mountain. (C) 1996 Elsevier Science Limited.","POLITECN MILAN,DEPT NUCL ENGN,I-20133 MILAN,ITALY","Zio, E (reprint author), MIT,DEPT NUCL ENGN,CAMBRIDGE,MA 02139, USA.",,,"Zio, Enrico/0000-0002-7108-637X",,,,19,30,34,0,1,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, OXON, ENGLAND OX5 1GB",0951-8320,,,RELIAB ENG SYST SAFE,Reliab. Eng. Syst. Saf.,AUG,1996,53.0,2,,,,,127,138,,10.1016/0951-8320(96)00060-9,,,,12,"Engineering, Industrial; Operations Research & Management Science",Engineering; Operations Research & Management Science,VP709,WOS:A1996VP70900003,,,,,3/15/19,1,N,Y,N,N,N,N,N,3,2,probability of nuclear meltdown and precipitation,,characteristics of experts and their domain knowledge,Y,N,N,Y,N,Y,N,none,tree based model of aggregation,b'10.1016:0951-8320(96)00060-9.pdf',
8,J,"Petrovic, D; Xie, Y; Burnham, K",,,,"Petrovic, D; Xie, Y; Burnham, K",,,Fuzzy decision support system for demand forecasting with a learning mechanism,FUZZY SETS AND SYSTEMS,,,English,Article,,,,,,fuzzy inference systems; forecasting; learning; decision support systems,TIME-SERIES; ENROLLMENTS; MODEL,"In this paper, a new decision support system for demand forecasting DSS-DF is presented. A demand forecast is generated in DSS-DF by combining four forecasts values. Two of them are obtained independently, one by a customer and the other by a market expert. They represent subjective judgments on future demand, given as linguistic values, such as ""demand is around a certain value"" or ""demand is not lower than a certain value"", etc. Two additional forecasts are crisp values, obtained using conventional statistical methods, one using time-series analysis based on decomposition (TSAD), and the other using an auto regressive integrated moving average (ARMA) model. The combination of these four forecast values into one improved forecast is made by applying fuzzy IF-THEN rules. A modified Mamdani-style inference is used, which enables reasoning with fuzzy inputs. A new learning mechanism is developed and incorporated into the DSS_DF to adapt the rule bases that combine the individual forecasted values. The rule bases are adapted taking into consideration the performance of each of the forecast methods recorded in the past. The application of DSS_DF is demonstrated by an illustrative example. The forecasts obtained by DSS_DF are compared with results procured by applying the conventional TSAD and ARMA methods separately. The results obtained are encouraging and indicate that combining forecasts obtained by different methods may be beneficial. (C) 2006 Elsevier B.V. All rights reserved.","Coventry Univ, Sch Math & Informat Sci, CTAC, Coventry CV1 5FB, W Midlands, England","Petrovic, D (reprint author), Coventry Univ, Sch Math & Informat Sci, CTAC, Priory St, Coventry CV1 5FB, W Midlands, England.",D.Petrovic@coventry.ac.uk,,"Petrovic, Dobrila/0000-0001-8213-2581",,,,19,26,27,0,5,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0165-0114,,,FUZZY SET SYST,Fuzzy Sets Syst.,16-Jun,2006,157.0,12,,,,,1713,1725,,10.1016/j.fss.2006.03.011,,,,13,"Computer Science, Theory & Methods; Mathematics, Applied; Statistics & Probability",Computer Science; Mathematics,048ZE,WOS:000237984300009,,,,,3/15/19,9,Y,Y,N,N,N,Y,-99,2,55,monthly product demans,"voluntary integration,a judicial forecaster decides how to use or adjust a statistical forecast; mechanical integration, a subjectively generated and statistical forecast are combined","customer forecast, expert forecast, ARIMA,TSAD",N,N,Y,N,N,Y,Y,cumulative forecast error,fuzzy set theory,b'10.1016:j.fss.2006.03.011.pdf',
9,J,"Song, HY; Gao, BZ; Lin, VS",,,,"Song, Haiyan; Gao, Bastian Z.; Lin, Vera S.",,,Combining statistical and judgmental forecasts via a web-based tourism demand forecasting system,INTERNATIONAL JOURNAL OF FORECASTING,,,English,Article,,,,,,Tourism demand forecasting; Econometric model; Judgmental adjustment; Domain knowledge; Hong Kong,TIME-SERIES; DECISION-MAKING; SUPPORT-SYSTEMS; MODELS; PERFORMANCE; ACCURACY; IDENTIFICATION; INFORMATION; MANAGEMENT; ISSUES,"This paper introduces a web-based tourism demand forecasting system (TDFS) that is designed to forecast the demand for Hong Kong tourism, as measured by tourist arrivals, total and sectoral tourist expenditures, and the demand for hotel rooms. The TDFS process comprises three stages - preliminary data analysis, the generation of quantitative forecasts and judgmental adjustments - which correspond to the three key system components: the data module, the quantitative forecasting module and the judgmental forecasting module, respectively. These stages (modules) interact with one another. This paper focuses on a recent case study that illustrates the functional ability of the TDFS as a support system, providing accurate forecasts of the demand for Hong Kong tourism. Specifically, the quantitative forecasts are generated by the autoregressive distributed lag model, then adjusted by a panel of experts comprising postgraduate students and academic staff. The results show that this combination of quantitative and judgmental forecasts improves the overall forecasting accuracy. (C) 2012 International Institute of Forecasters. Published by Elsevier B.V. All rights reserved.","[Song, Haiyan; Gao, Bastian Z.; Lin, Vera S.] Hong Kong Polytech Univ, Sch Hotel & Tourism Management, Kowloon, Hong Kong, Peoples R China","Lin, VS (reprint author), Hong Kong Polytech Univ, Sch Hotel & Tourism Management, 17 Sci Museum Rd, Kowloon, Hong Kong, Peoples R China.",vera.shanshan.lin@connect.polyu.hk,,"Song, Haiyan/0000-0001-6158-1222",,,,60,23,24,1,56,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0169-2070,,,INT J FORECASTING,Int. J. Forecast.,APR-JUN,2013,29.0,2,,,,,295,310,,10.1016/j.ijforecast.2011.12.003,,,,16,Economics; Management,Business & Economics,111MB,WOS:000316524300008,,,,,3/15/19,10,N,Y,N,N,-99,Y,Y,16,2,"number of tourist arrivals, tourist expenditures, and demand for hotel rooms","judgemental adjustment,allowing users to adjust a statistical forecast ",time series of historical tourist demand,Y,N,Y,N,N,Y,Y,"MAE,MAPE,RMSE",ARIMA,b'10.1016:j.ijforecast.2011.12.003.pdf',
