	TI	AB	DI	PY
0	Combining techniques to optimize effort predictions in software project management	"This paper tackles two questions related to software effort prediction. First, is it valuable to combine prediction techniques? Second, if so, how? Many commentators have suggested the use of more than one technique in order to support effort prediction, but to date there has been little or no empirical investigation to support this recommendation. Our analysis of effort data from a medical records information system reveals that there is little, or even negative, covariance between the accuracy of our three chosen prediction techniques, namely, expert judgment, least squares regression and case-based reasoning. This indicates that when one technique predicts poorly, one or both of the others tends to perform significantly better. This is a particularly striking result given the relative homogeneity of our data set. Consequently, searching for the single ""best"" technique, at least in this case, leads to a suboptimal prediction strategy. The challenge then becomes one of identifying a means of determining a priori which prediction technique to use. Unfortunately, despite using a range of techniques including rule induction, we were unable to identify any simple mechanism for doing so. Nevertheless, we believe this remains an important research goal. (C) 2002 Elsevier Science Inc. All rights reserved."	10.1016/S0164-1212(02)00067-5	2003, N,Y,Y
1	On using planning poker for estimating user stories	"While most studies in psychology and forecasting stress the possible hazards of group processes when predicting effort and schedule, agile software development methods recommend the use of a group estimation technique called planning poker for estimating the size of user stories and developing release and iteration plans. It is assumed that the group discussion through planning poker helps in identifying activities that individual estimators could overlook, thus providing more accurate estimates and reducing the over-optimism that is typical for expert judgment-based methods. In spite of the widespread use of agile methods, there is little empirical evidence regarding the accuracy of planning poker estimates. In order to fill this gap a study was conducted requiring 13 student teams to develop a Web-based student records information system. All teams were given the same set of user stories which had to be implemented in three Sprints. Each team estimated the stories using planning poker and the estimates provided by each team member during the first round were averaged to obtain the statistical combination for further comparison. In the same way the stories were estimated by a group of experts. The study revealed that students' estimates were over-optimistic and that planning poker additionally increased the over-optimism. On the other hand, the experts' estimates obtained through planning poker were much closer to actual effort spent and tended to be more accurate than the statistical combination of their individual estimates. The results indicate that the optimism bias caused by group discussion diminishes or even disappears as the expertise of the people involved in the group estimation process increases. (C) 2012 Elsevier Inc. All rights reserved."	10.1016/j.jss.2012.04.005	2012,N,N,N
2	Group processes in software effort estimation	"The effort required to complete software projects is often estimated, completely or partially, using the judgment of experts, whose assessment may be biased. In general, such bias as there is seems to be towards estimates that are overly optimistic. The degree of bias varies from expert to expert, and seems to depend on both Conscious and unconscious processes. One possible approach to reduce this bias towards over-optimism is to combine the judgments of several experts. This paper describes ail experiment in which experts with different backgrounds combined their estimates in group discussion. First, 20 software professionals were asked to provide individual estimates of the effort required for a software development project. Subsequently, they formed five estimation groups, each consisting of four experts. Each of these groups agreed oil a project effort estimate via the pooling of knowledge in discussion. We found that the groups submitted less optimistic estimates than the individuals. Interestingly, the group discussion-based estimates were closer to the effort expended on the actual project than the average of the individual expert estimates were, i.e., the group discussions led to better estimates than a mechanical averaging of the individual estimates. The groups' ability to identify a greater number of the activities required by the project is among the possible explanations for this reduction of bias."	10.1023/B:EMSE.0000039882.39206.5a	2004,N,Y,Y
3	Evidence-based guidelines for assessment of software development cost uncertainty	"Several studies suggest that uncertainty assessments of software development costs are strongly biased toward overconfidence, i.e., that software cost estimates typically are believed to be more accurate than they really are. This overconfidence may lead to poor project planning. As a means of improving cost uncertainty assessments, we provide evidence-based guidelines for how to assess software development cost uncertainty, based on results from relevant empirical studies. The general guidelines provided are: 1) Do not rely solely on unaided, intuition-based uncertainty assessment processes, 2) do not replace expert judgment with formal uncertainty assessment models, 3) apply structured and explicit judgment-based processes, 4) apply strategies based on an outside view of the project, 5) combine uncertainty assessments from different sources through group work, not through mechanical combination, 6) use motivational mechanisms with care and only if greater effort is likely to lead to improved assessments, and 7) frame the assessment problem to fit the structure of the relevant uncertainty information and the assessment process. These guidelines are preliminary and should be updated in response to new evidence."	10.1109/TSE.2005.128	2005,N,N,N
5	"The tool for the automatic analysis of text cohesion (TAACO): Automatic assessment of local, global, and text cohesion"	"This study introduces the Tool for the Automatic Analysis of Cohesion (TAACO), a freely available text analysis tool that is easy to use, works on most operating systems (Windows, Mac, and Linux), is housed on a user's hard drive (rather than having an Internet interface), allows for the batch processing of text files, and incorporates over 150 classic and recently developed indices related to text cohesion. The study validates TAACO by investigating how its indices related to local, global, and overall text cohesion can predict expert judgments of text coherence and essay quality. The findings of this study provide predictive validation of TAACO and support the notion that expert judgments of text coherence and quality are either negatively correlated or not predicted by local and overall text cohesion indices, but are positively predicted by global indices of cohesion. Combined, these findings provide supporting evidence that coherence for expert raters is a property of global cohesion and not of local cohesion, and that expert ratings of text quality are positively related to global cohesion."	10.3758/s13428-015-0651-7	2016,N,N,N
8	Probabilistic inversion for chicken processing lines	"We discuss an application of probabilistic inversion techniques to a model of campylobacter transmission in chicken processing lines. Such techniques are indicated when we wish to quantify a model which is new and perhaps unfamiliar to the expert community. In this case there are no measurements for estimating model parameters, and experts are typically unable to give a considered judgment. In such cases, experts are asked to quantify their uncertainty regarding variables which can be predicted by the model. The experts' distributions (after combination) are then pulled back onto the parameter space of the model, a process termed ""probabilistic inversion"". This study illustrates two such techniques, iterative proportional fitting (IPF) and PARmeter fitting for uncertain models (PARFUM). In addition, we illustrate how expert judgement on predicted observable quantities in combination with probabilistic inversion may be used for model validation and/or model criticism. (c) 2005 Elsevier Ltd. All rights reserved."	10.1016/j.ress.2005.11.054	2006
9	"Hybridising Human Judgment, AHP, Grey Theory, and Fuzzy Expert Systems for Candidate Well Selection in Fractured Reservoirs"	"The selection of appropriate wells for hydraulic fracturing is one of the most important decisions faced by oilfield engineers. It has significant implications for the future development of an oilfield in terms of its productivity and economics. In this study, we developed a fuzzy model for well selection that combines the major objective criteria with the subjective judgments of decision makers. This was done by fusing the analytic hierarchy process (AHP) method, grey theory and an advanced version of fuzzy logic theory (FLT). The AHP component was used to identify the relevant criteria involved in selecting wells for hydraulic fracturing. Grey theory was used to determine the relative importance of those criteria. Then a fuzzy expert system was applied to fuzzily process the aggregated inputs using a Type-2 fuzzy logic system. This undertakes approximate reasoning and generates recommendations for candidate wells. These techniques and technologies were hybridized by using an intercommunication job-sharing method that integrates human judgment. The proposed method was tested on data from an oilfield in Western China and finally the most appropriate candidate wells for hydraulic fracturing were ranked in order of their projected output after fracturing."	10.3390/en10040447	2017,N,Y,N
11	Classification and clinical diagnosis of cutaneous vasculitides	"The definition, diagnostic criteria and classification of systemic vasculitides, of which cutaneous vasculitides (CV) are a part, have long been discussed by the medical scientific world. The most significant contribution is due to the consensus-based criteria specifically derived by the combination of judgments from groups of experts, after accurate literature reviews and developed using consensus techniques. First of them came from the American College of Rheumatology (ACR) in 1990. In 1994 the Chapel Hill International Consensus Conference (CHCC) produced the Consensus-based Criteria essentially providing proper nomenclature for systemic vasculitis, which has been modified in 2012 by the CHCC2012. Moreover, in 2006 European League against Rheumatism and Pediatric Rheumatology European Society produced consensus criteria for the classification of childhood vasculitis. In CHCC2012 CV, affecting small vessels with a predominant skin involvement, have been included in both small vessel vasculitis and single organ vasculitis. The general characteristics of so-called CV have been described (epidemiology, clinical features, histopathology and etiopathogenesis) and, finally, the major characteristics of each clinical type of CV as well as their diagnostic criteria currently available in the literature have been reported."	0	2015,N,N,N
13	Policy capturing with ridge regression	"A policy capturing method combining human judgment with ridge regression is offered which results in superior judgment policy models. The new method (termed smart ridge regression) was tested against four others in seven judgment policy capturing applications. Performance criteria were two cross-validation indices: cross-validated multiple correlation and mean squared error of prediction of new judgments. Smart ridge regression was found to outperform ordinary least squares regression and conventional ridge regression, as well as subjective weighting and equal weighting of cues. (C) 1996 Academic Press, Inc."	10.1006/obhd.1996.0097	1996,N,N,N
14	"Use of expert knowledge to anticipate the future: Issues, analysis and directions"	"Unless an anticipation problem is routine and short-term, and objective data are plentiful, expert judgment will be needed. Risk assessment is analogous to anticipating the future, in that models need to be developed and applied to data. Since objective data are often scanty, expert knowledge elicitation (EKE) techniques have been developed for risk assessment that allow models to be developed and parametrized using expert judgment with minimal cognitive and social biases. Here, we conceptualize how EKE can be developed and applied to support anticipation of the future. Accordingly, we begin by defining EKE as a complete process, which involves considering experts as a source of data, and comprises various methods for ensuring the quality of this data, including selecting the best experts, training experts in the normative aspects of anticipation, and combining judgments from several experts, as well as eliciting unbiased estimates and constructs from experts. We detail various aspects of the papers that constitute this special issue and analyse them in terms of the stages of the EKE future-anticipation process that they address. We also identify the remaining gaps in our knowledge. Our conceptualization of EKE with the aim of supporting anticipation of the future is compared and contrasted with the extant research on judgmental forecasting."	10.1016/j.ijforecast.2016.11.001	2017,N,Y,Y
