,TI,AB,DI,PY,crowd,experts,aggregation,all,notes
1,Toward a ground-motion logic tree for probabilistic seismic hazard assessment in Europe,"The Seismic Hazard Harmonization in Europe (SHARE) project, which began in June 2009, aims at establishing new standards for probabilistic seismic hazard assessment in the Euro-Mediterranean region. In this context, a logic tree for ground-motion prediction in Europe has been constructed. Ground-motion prediction equations (GMPEs) and weights have been determined so that the logic tree captures epistemic uncertainty in ground-motion prediction for six different tectonic regimes in Europe. Here we present the strategy that we adopted to build such a logic tree. This strategy has the particularity of combining two complementary and independent approaches: expert judgment and data testing. A set of six experts was asked to weight pre-selected GMPEs while the ability of these GMPEs to predict available data was evaluated with the method of Scherbaum et al. (Bull Seismol Soc Am 99:3234-3247, 2009). Results of both approaches were taken into account to commonly select the smallest set of GMPEs to capture the uncertainty in ground-motion prediction in Europe. For stable continental regions, two models, both from eastern North America, have been selected for shields, and three GMPEs from active shallow crustal regions have been added for continental crust. For subduction zones, four models, all non-European, have been chosen. Finally, for active shallow crustal regions, we selected four models, each of them from a different host region but only two of them were kept for long periods. In most cases, a common agreement has been also reached for the weights. In case of divergence, a sensitivity analysis of the weights on the seismic hazard has been conducted, showing that once the GMPEs have been selected, the associated set of weights has a smaller influence on the hazard.",10.1007/s10950-012-9281-z,2012,Y,Y,N,FALSE,
2,A Bayesian Network Modeling Approach to Forecasting the 21st Century Worldwide Status of Polar Bears,"To inform the U.S. Fish and Wildlife Service decision, whether or not to list polar bears as threatened under the Endangered Species Act (ESA), we projected the status of the world's polar bears (Ursus maritimus) for decades centered on future years 2025, 2050, 2075, and 2095. We defined four ecoregions based on current and projected sea ice conditions: seasonal ice, Canadian Archipelago, polar basin divergent, and polar basin convergent ecoregions. We incorporated general circulation model projections of future sea ice into a Bayesian network (BN) model structured around the factors considered in ESA decisions. This first-generation BN model combined empirical data, interpretations of data, and professional judgments of one polar bear expert into a probabilistic framework that identifies causal links between environmental stressors and polar bear responses. We provide guidance regarding steps necessary to refine the model, including adding inputs from other experts. The BN model projected extirpation of polar bears from the seasonal ice and polar basin divergent ecoregions, where approximate to 2/3 of the world's polar bears currently occur, by mid century. Projections were less dire in other ecoregions. Decline in ice habitat was the overriding factor driving the model outcomes. Although this is a first-generation model, the dependence of polar bears on sea ice is universally accepted, and the observed sea ice decline is faster than models suggest. Therefore, incorporating judgments of multiple experts in a final model is not expected to fundamentally alter the outlook for polar bears described here.",10.1029/180GM14,2008,N,Y,N,FALSE,
3,The limits of forecasting methods in anticipating rare events,"In this paper we review methods that aim to aid the anticipation of rare, high-impact, events. We evaluate these methods according to their ability to yield well-calibrated probabilities or point forecasts for such events. We first identify six factors that can lead to poor calibration and then examine how successful the methods are in mitigating these factors. We demonstrate that all the extant forecasting methods including the use of expert judgment, statistical forecasting. Delphi and prediction markets contain fundamental weaknesses. We contrast these methods with a non-forecasting method that is intended to aid planning for the future scenario planning. We conclude that all the methods are problematic for aiding the anticipation of rare events and that the only remedies are to either (i) to provide protection for the organization against the occurrence of negatively-valenced events whilst allowing the organization to benefit from the occurrence of positively-valenced events, or (ii) to provide conditions to challenge one's own thinking and hence improve anticipation. We outline how components of devil's advocacy and dialectical inquiry can be combined with Delphi and scenario planning to enhance anticipation of rare events. (C) 2009 Elsevier Inc. All rights reserved.",10.1016/j.techfore.2009.10.008,2010,N,Y,N,FALSE,
4,The relative importance of the face and body in judgments of human physical attractiveness,"A number of traits have been proposed to be important in human mate choice decisions. However, relatively little work has been conducted to determine the relative importance of these traits. In this study, we assessed the relative importance of the face and body in judgments of human physical attractiveness. One hundred twenty-seven men and 133 women were shown images of 10 individuals of the opposite sex. Participants rated the images for their attractiveness for either a short-term relationship or a long-term relationship. Images of the face and the body were rated independently before participants were shown and asked to rate the combined face and body images. Face ratings were found to be the best predictor of the ratings of combined images for both sexes and for both relationship types. Females showed no difference in ratings between short- and long-term conditions, but male ratings of female bodies became relatively more important for a short-term relationship compared with a long-term relationship. Results suggest that faces and bodies may be signaling different information about potential mates. (C) 2009 Elsevier Inc. All rights reserved.",10.1016/j.evolhumbehav.2009.06.005,2009,Y,N,Y,FALSE,
6,Differential Diagnosis of Children with Suspected Childhood Apraxia of Speech,"Purpose: The gold standard for diagnosing childhood apraxia of speech (CAS) is expert judgment of perceptual features. The aim of this study was to identify a set of objective measures that differentiate CAS from other speech disorders. Method: Seventy-two children (4-12 years of age) diagnosed with suspected CAS by community speech-language pathologists were screened. Forty-seven participants underwent diagnostic assessment including presence or absence of perceptual CAS features. Twenty-eight children met two sets of diagnostic criteria for CAS (American Speech-Language-Hearing Association, 2007b; Shriberg, Potter, & Strand, 2009); another 4 met the CAS criteria with comorbidity. Fifteen were categorized as non-CAS with phonological impairment, submucous cleft, or dysarthria. Following this, 24 different measures from the diagnostic assessment were rated by blinded raters. Multivariate discriminant function analysis was used to identify the combination of measures that best predicted expert diagnoses. Results: The discriminant function analysis model, including syllable segregation, lexical stress matches, percentage phonemes correct from a polysyllabic picture-naming task, and articulatory accuracy on repetition of /peteke/, reached 91% diagnostic accuracy against expert diagnosis. Conclusions: Polysyllabic production accuracy and an oral motor examination that includes diadochokinesis may be sufficient to reliably identify CAS and rule out structural abnormality or dysarthria. Testing with a larger unselected sample is required.",10.1044/2014_JSLHR-S-12-0358,2015,N,Y,N,FALSE,
7,Improving predictive accuracy with a combination of human intuition and mechanical decision aids,"This study examines the intuitive combination of human judgment and mechanical prediction under varied information conditions, As expected, mechanical prediction outperformed human intuition when based on the same information, but a combined approach was best when judges had access to relevant information not captured by the model (information asymmetry), The model was useful for differentiating between the event outcomes (improved slope), while eliminating the bias caused by base-rate neglect. Human intuition was useful for incorporating relevant information outside the scope of the model, resulting in improved slope and reduced judgment scatter. The addition of irrelevant information was detrimental to judgment accuracy, causing an increase in bias and a reduction in slope. These results provide insight into hour and when combining mechanical prediction and human intuition is likely to result in improved accuracy. (C) 1998 Academic Press.",10.1006/obhd.1998.2809,1998,Y,N,Y,FALSE,
10,Automatic feature identification and graphical support in rule-based forecasting: A comparison,"We examined automatic feature identification and graphical support in rule-based expert systems for forecasting. The rule-based expert forecasting system (RBEFS) includes predefined rules to automatically identify features of a time series and selects the extrapolation method to be used. The system call also integrate managerial judgment using a graphical interface that allows a user to view alternate extrapolation methods two at a time. The use of the RBEFS led to a significant improvement in accuracy compared to equal-weight combinations of forecasts. Further improvement were achieved with the user interface. For 6-year ahead ex ante forecasts, the rule-based expert forecasting system has a median absolute percentage error (MdAPE) 15% less than that of equally weighted combined forecasts and a 33% improvement over the random walk. The user adjusted forecasts had a MdAPE 20% less than that of the expert system. The results of the system are also compared to those of an earlier rule-based expert system which required human judgments about some features of the time series data. The results of the comparison of the two rule-based expert systems showed no significant differences between them.",10.1016/S0169-2070(96)00682-6,1996,N,Y,N,FALSE,
14,Development of a surrogate model and sensitivity analysis for spatio-temporal numerical simulators,"To evaluate the consequences on human health of radionuclide releases in the environment, numerical simulators are used to model the radionuclide atmospheric dispersion. These codes can be time consuming and depend on many uncertain variables related to radionuclide, release or weather conditions. These variables are of different kind: scalar, functional and qualitative. Given the uncertain parameters, code provides spatial maps of radionuclide concentration for various moments. The objective is to assess how these uncertainties can affect the code predictions and to perform a global sensitivity analysis of code in order to identify the most influential uncertain parameters. This sensitivity analysis often calls for the estimation of variance-based importance measures, called Sobol' indices. To estimate these indices, we propose a global methodology combining several advanced statistical techniques which enable to deal with the various natures of the uncertain inputs and the high dimension of model outputs. First, a quantification of input uncertainties is made based on data analysis and expert judgment. Then, an initial realistic sampling design is generated and the corresponding code simulations are performed. Based on this sample, a proper orthogonal decomposition of the spatial output is used and the main decomposition coefficients are modeled with Gaussian process surrogate model. The obtained spatial metamodel is then used to compute spatial maps of Sobol' indices, yielding the identification of global and local influence of each input variable and the detection of areas with interactions. The impact of uncertainty quantification step on the results is also evaluated.",10.1007/s00477-014-0927-y,2015,N,N,N,FALSE,
17,Preliminary Strategic Environmental Assessment of the Great Western Development Strategy: Safeguarding Ecological Security for a New Western China,"The Great Western Development Strategy (GWDS) is a long term national campaign aimed at boosting development of the western area of China and narrowing the economic gap between the western and the eastern parts of China. The Strategic Environmental Assessment (SEA) procedure was employed to assess the environmental challenges brought about by the western development plans. These plans include five key developmental domains (KDDs): water resource exploitation and use, land utilization, energy generation, tourism development, and ecological restoration and conservation. A combination of methods involving matrix assessment, incorporation of expert judgment and trend analysis was employed to analyze and predict the environmental impacts upon eight selected environmental indicators: water resource availability, soil erosion, soil salinization, forest destruction, land desertification, biological diversity, water quality and air quality. Based on the overall results of the assessment, countermeasures for environmental challenges that emerged were raised as key recommendations to ensure ecological security during the implementation of the GWDS. This paper is intended to introduce a consensus-based process for evaluating the complex, long term pressures on the ecological security of large areas, such as western China, that focuses on the use of combined methods applied at the strategic level.",10.1007/s00267-011-9794-1,2012,Y,Y,Y,TRUE,
18,A human judgment approach to epidemiological forecasting,"Infectious diseases impose considerable burden on society, despite significant advances in technology and medicine over the past century. Advanced warning can be helpful in mitigating and preparing for an impending or ongoing epidemic. Historically, such a capability has lagged for many reasons, including in particular the uncertainty in the current state of the system and in the understanding of the processes that drive epidemic trajectories. Presently we have access to data, models, and computational resources that enable the development of epidemiological forecasting systems. Indeed, several recent challenges hosted by the U. S. government have fostered an open and collaborative environment for the development of these technologies. The primary focus of these challenges has been to develop statistical and computational methods for epidemiological forecasting, but here we consider a serious alternative based on collective human judgment. We created the web-based | Epicast forecasting system which collects and aggregates epidemic predictions made in real-time by human participants, and with these forecasts we ask two questions: how accurate is human judgment, and how do these forecasts compare to their more computational, data-driven alternatives? To address the former, we assess by a variety of metrics how accurately humans are able to predict influenza and chikungunya trajectories. As for the latter, we show that real-time, combined human predictions of the 2014-2015 and 2015-2016 U.S. flu seasons are often more accurate than the same predictions made by several statistical systems, especially for short-term targets. We conclude that there is valuable predictive power in collective human judgment, and we discuss the benefits and drawbacks of this approach.",10.1371/journal.pcbi.1005248,2017,Y,N,Y,FALSE,
21,AGGREGATION OF FORECASTS FROM MULTIPLE SIMULATION MODELS,"When faced with output from multiple simulation models, a decision maker must aggregate the forecasts provided by each model. This problem is made harder when the models are based on similar assumptions or use overlapping input data. This situation is similar to the problem of expert judgment aggregation where experts provide a forecast distribution based on overlapping information, but only samples from the output distribution are obtained in the simulation case. We propose a Bayesian method for aggregating forecasts from multiple simulation models. We demonstrate the approach using a climate change example, an area often informed by multiple simulation models.",0,2013,N,N,N,FALSE,
