,TI,AB,DI,PY,
4,Statistical correction of judgmental point forecasts and decisions,"In many organizations point estimates labelled as 'forecasts' are produced by human judgment rather than statistical methods. However, when these estimates are subject to asymmetric loss they are, in fact, decisions because they involve the selection of a value with the objective of minimizing loss. While there are often considerable advantages in using judgment to arrive at these decisions the psychological demands of the task may mean that the resulting decisions are sub-optimal when compared with those resulting from a normative decision model. In these circumstances a combination of statistical methods and judgment may be superior. This paper suggests a procedure which involves the statistical correction of the original decision to obtain a forecast and the subsequent use of a mathematical model to identify the theoretically optimal decision in the light of this forecast. The application of the procedure to the monthly decisions of a manufacturing company suggests that it may offer the potential for achieving substantial improvements In many practical contexts. Copyright (C) 1996 Elsevier Science Ltd",10.1016/0305-0483(96)00028-X,1996,0
6,An application of judgment analysis to examination marking in psychology,"Statistical combinations of specific measures have been shown to be superior to expert judgment in several fields. In this study, judgment analysis was applied to examination marking to investigate factors that influenced marks awarded and contributed to differences between first and second markers. Seven markers in psychology rated 551 examination answers on seven 'aspects' for which specific assessment criteria had been developed to support good practice in assessment. The aspects were: addressing the question, covering the area, understanding, evaluation, development of argument, structure and organization, and clarity. Principal-components analysis indicated one major factor and no more than two minor factors underlying the seven aspects. Aspect ratings were used to predict overall marks, using multiple regression to 'capture' the marking policies of individual markers. These varied from marker to marker in terms of the numbers of aspect ratings that made independent contributions to the prediction of overall marks and the extent to which aspect ratings explained the variance in overall marks. The number of independently predictive aspect ratings, and the amount of variance in overall marks explained by aspect ratings, were consistently higher for first markers (question setters) than for second markers. Co-markers' overall marks were then used as an external criterion to test the extent to which a simple model consisting of the sum of the aspect ratings improved on overall marks in the prediction of co-markers marks. The model significantly increased the variance in co-markers' marks accounted for, but only for second markers, who had not taught the material and had not set the question. Further research is needed to develop the criteria and especially to establish the reliability and validity of specific aspects of assessment. The present results support the view that, for second markers at least, combined measures of specific aspects of examination answers may help to improve the reliability of marking.",10.1348/000712602760146233,2002,0
7,Identification of more risks can lead to increased over-optimism of and over-confidence in software development effort estimates,"Software professionals are, on average, over-optimistic about the required effort usage and over-confident about the accuracy of their effort estimates. A better understanding of the mechanisms leading to the over-optimism and over-confidence may enable better estimation processes and, as a consequence, better managed software development projects We hypothesize that there are situations where more work on risk identification leads to increased over-optimism and over-confidence in software development effort estimates, instead of the Intended improvement of realism. Four experiments with software professionals are conducted to test the hypothesis All four experiments provide results in support of the hypothesis. Possible explanations of the counter-intuitive finding relate to results from cognitive science on ""illusion-of-control"", ""cognitive accessibility"", ""the peak-end rule"" and ""risk as feeling"" Thorough work on risk identification is essential for many purposes and our results should not lead to less emphasis on this activity Our results do, however, suggest that it matters how risk identification and judgment-based effort estimation processes are combined A simple approach for better combination of risk identification work and effort estimation is suggested (C) 2009 Elsevier B V All rights reserved",10.1016/j.infsof.2009.12.002,2010,0
10,Bayesian reanalysis of the challenger O-ring data,"A Bayesian forecasting model is developed to quantify uncertainty about the postflight state of a field-joint primary O-ring (not damaged or damaged), given the O-ring temperature at the time of launch of the space shuttle Challenger in 1986. The crux of this problem is the enormous extrapolation that must be performed: 23 previous shuttle flights were launched at temperatures between 53 degrees F and 81 degrees F, but the next launch is planned at 31 degrees F. The fundamental advantage of the Bayesian model is its theoretic structure, which remains correct over the entire sample space of the predictor and that affords flexibility of implementation. A novel approach to extrapolating the input elements based on expert judgment is presented; it recognizes that extrapolation is equivalent to changing the conditioning of the model elements. The prior probability of O-ring damage can be assessed subjectively by experts following a nominal-interacting process in a group setting. The Bayesian model can output several posterior probabilities of O-ring damage, each conditional on the given temperature and on a different strength of the temperature effect hypothesis. A lower bound on, or a value of, the posterior probability can be selected for decision making consistently with expert judgment, which encapsulates engineering information, knowledge, and experience. The Bayesian forecasting model is posed as a replacement for the logistic regression and the nonparametric approach advocated in earlier analyses of the Challenger O-ring data. A comparison demonstrates the inherent deficiency of the generalized linear models for risk analyses that require (1) forecasting an event conditional on a predictor value outside the sampling interval, and (2) combining empirical evidence with expert judgment.",10.1111/j.1539-6924.2008.01081.x,2008,0
12,Accuracy gains of adding vote expectation surveys to a combined forecast of US presidential election outcomes,"In averaging forecasts within and across four-component methods (i.e. polls, prediction markets, expert judgment and quantitative models), the combined PollyVote provided highly accurate predictions for the US presidential elections from 1992 to 2012. This research note shows that the PollyVote would have also outperformed vote expectation surveys, which prior research identified as the most accurate individual forecasting method during that time period. Adding vote expectations to the PollyVote would have further increased the accuracy of the combined forecast. Across the last 90 days prior to the six elections, a five-component PollyVote (i.e. including vote expectations) would have yielded a mean absolute error of 1.08 percentage points, which is 7% lower than the corresponding error of the original four-component PollyVote. This study thus provides empirical evidence in support of two major findings from forecasting research. First, combining forecasts provides highly accurate predictions, which are difficult to beat for even the most accurate individual forecasting method available. Second, the accuracy of a combined forecast can be improved by adding component forecasts that rely on different data and different methods than the forecasts already included in the combination.",10.1177/2053168015570416,2015,1
15,Weighted Diagnostic Criteria for Developmental Dysplasia of the Hip,"Objective To establish clinical diagnostic criteria for developmental dysplasia of the hip (DDH) that model the practices of expert clinicians. Study design Of 23 clinical criteria for the diagnosis of DDH, ranked in order of diagnostic importance by international consensus, the 7 most highly ranked were placed in all possible combinations to create unique case vignettes. Twenty-six experts rated 52 vignettes for the presence of DDH. We modeled the data to determine which of the 7 criteria were associated with a clinician's opinion that the vignette represented DDH. From the resulting regression coefficients, for each vignette we calculated a probability of DDH. An independent panel rated the same vignettes using a visual analog scale response. We correlated the visual analog scale ratings with probabilities derived from the model. Results Our model identified 4 of 7 criteria as predictive of DDH (P < .001): Ortolani/Barlow test (beta = 3.26), limited abduction (beta = 1.48), leg length discrepancy (beta = 0.74), and first-degree family history of DDH (beta = 1.39). There was substantial correlation between the probability of DDH predicted by the model and that derived from an independent expert panel (r = 0.73; P < .001). Conclusion Weighted clinical criteria for inferring the likelihood of DDH produced consistent results in the judgment of 2 separate groups of experts. Using these weights, nonexperts could establish the probability of DDH in a manner approaching the practice of clinical experts.",10.1016/j.jpeds.2014.08.023,2014,1
16,Life-cycle performance of structures: combining expert judgment and results of inspection,"Current bridge management systems base decisions on the results of visual inspections. These systems consider visual inspection results as accurate and disregard any further information available. In the present study, the result of each inspection is considered as a random variable, dependent of a wide range of factors, that can be integrated with other sources of information, including expert judgment and results of other inspections. The combination of different sources of information results in reliable posterior information and allows more accurate predictions of future deterioration. In the present paper, performance of an existing structure is obtained in terms of the condition index, which describes the effects of deterioration as can be seen by an inspector, and the safety index, which measures the safety margin of the structure. The reduction in uncertainty associated with periodical inspections is considered through updating of performance profiles. The updating of the condition index is direct, as new information on this parameter is collected by the inspector. In terms of safety, however, only indirect information is collected and the uncertainty reduction associated with an inspection is significantly lower. Several realistic examples show the impact of inspections on the predicted life-cycle performance of structures.",0,2008,1
18,Development of a Group Judgment Process for Forecasts of Health Care Innovations,"IMPORTANCE Health care costs have increased substantially over the past few decades, in part owing to the development and diffusion of new medical treatments. Forecasting potential future technologic innovations can allow for more informed planning. OBJECTIVE To assess the predictive validity of a structured formal method for forecasting future technologic innovations in health care. DESIGN, SETTING, AND PARTICIPANTS This pilot study combined an untested, unvalidated combination of a consensus process and group judgment process to evaluate forecasts made in 2001 for technologic innovations by 2021 in Alzheimer disease (AD) and cardiovascular disease (CVD). Six experts in AD and 7 experts in CVD composed the judgment group. The study was conducted in 2017-2018. MAIN OUTCOMES AND MEASURES Year 2001 forecasts for 2021 that were judged by experts as being close to correct, directionally correct, or not correct, as well as innovations that occurred since 2001 that were not predicted. RESULTS Four forecasts of innovations in AD, each considered to be between 30% and 40% likely to be achieved by 2021, were judged to be close to correct. One forecast was considered to be directionally correct, with a likelihood of occurrence of 40%, in that it was overoptimistic. One innovation that occurred was missed: new imaging techniques (amyloid beta plaque and tau tangle positron emission tomographic imaging). Five forecasts of CVD innovations were considered to be at least 50% likely to occur by 2021, and of these, 2 were judged to be close to correct, 1 was judged as being directionally correct, and 2 were judged as being not correct (although in one of these forecasts, the overarching innovation has been achieved but with a different noninvasive imaging modality). Of 7 additional forecasts considered to be less likely to be achieved by 2021, 4 were judged to be close to correct and 3 were judged as being directionally correct. Two innovations occurred but were missed: transcatheter aortic valve replacement and cardiac resynchronization therapy. Across both conditions, 15 of 17 innovations forecasted were judged to be close to correct or directionally correct, 2 were judged to be incorrect, and there were 3 missed innovations. CONCLUSIONS AND RELEVANCE Expert elicitation provided a useful, but not fully accurate, lens into future innovation.",10.1001/jamanetworkopen.2018.5108,2018,0
19,A Novel Hybrid ABC-PSO Algorithm for Effort Estimation of Software Projects Using Agile Methodologies,"In modern software development processes, software effort estimation plays a crucial role. The success or failure of projects depends greatly on the accuracy of effort estimation and schedule results. Many studies focused on proposing novel models to enhance the accuracy of predicted results; however, the question of accurate estimation of effort has been a challenging issue with regards to researchers and practitioners, especially when it comes to projects using agile methodologies. This study aims at introducing a novel formula based on team velocity and story point factors. The parameters of this formula are then optimized by employing swarm optimization algorithms. We also propose an improved algorithm combining the advantages of the artificial bee colony and particle swarm optimization algorithms. The experimental results indicated that our approaches outperformed methods in other studies in terms of the accuracy of predicted results.",10.1515/jisys-2016-0294,2018,0
21,Probabilistic Inversion Techniques in Quantitative Risk Assessment for Power System Load Forecasting,"Expert judgment is frequently used to assess parameter values in quantitative risk assessment. Experts can however only be expected to assess observable quantities, not abstract model parameters. This means that we need a method for translating expert assessed uncertainties on model outputs into uncertainties on model parameter values. So we use Probabilistic Inversion (PI) method. The probability distribution on model parameters obtained in this way can be used in a variety of ways, but in particular in an uncertainty analysis or as a Bayes prior. In this paper probabilistic inversion problems are first defined, existing algorithms for solving such problems are also discussed and the algorithms based on iterative algorithms are introduced. Those computational algorithms have proven successful in various projects. Such techniques are indicated when we wish to quantify a model which is new and perhaps unfamiliar to the expert community. There are no measurements for estimating model parameters, and experts are typically unable to give a considered judgment. In such cases, experts are asked to quantify their uncertainty regarding variables which can be predicted by the model. Applications to power system load forecasting in NingXia province of China is discussed. This study illustrates two such techniques, Iterative Proportional Fitting (IPF) and PARmeter Fitting for Uncertain Models (PARFUM) which provide useful tools for the practicing quantities risk assessment. In addition, we also illustrate how expert judgment on predicted observable quantities in combination with probabilistic inversion may be used for model validation.",10.1109/ICINFA.2008.4608092,2008,1
