,word,freq
4,expert,142
96,forecast,104
3,judgment,87
36,use,74
56,model,74
62,combin,66
91,data,50
7,probabl,50
193,method,47
128,risk,42
293,aggreg,40
123,approach,38
33,predict,36
135,estim,31
92,base,30
184,result,30
15,decis,29
86,assess,29
32,inform,26
8,distribut,26
63,differ,25
89,system,24
0,elicit,24
17,paper,23
140,studi,23
30,provid,22
421,weight,20
242,effect,20
38,uncertainti,20
20,perform,20
266,individu,20
29,knowledg,19
424,two,17
304,problem,17
268,accuraci,17
403,propos,17
75,analysi,17
185,compar,17
442,demand,16
16,make,16
264,accur,15
253,obtain,15
254,averag,15
296,import,15
511,show,15
330,manag,15
320,chang,15
273,high,14
74,research,14
162,techniqu,14
190,well,14
446,one,14
217,compon,14
318,process,14
194,present,14
52,consid,13
197,c,13
110,appli,13
139,case,13
122,new,13
228,mean,13
26,discuss,13
277,improv,13
85,time,12
420,valu,12
79,avail,12
65,may,12
6,subject,12
45,develop,12
121,applic,12
117,probabilist,11
393,simpl,11
133,relat,11
568,group,11
360,futur,11
326,factor,11
59,opinion,11
161,statist,11
252,error,11
57,function,10
548,paramet,10
419,measur,10
611,variabl,10
348,fish,10
515,common,10
308,term,10
355,simul,10
812,expertis,10
138,illustr,10
908,rank,10
260,quantit,10
609,set,10
114,mani,10
459,integr,10
300,multipl,9
305,also,9
716,way,9
286,elsevi,9
12,support,9
319,climat,9
905,methodolog,9
274,level,9
210,structur,9
109,first,8
289,right,8
307,repres,8
130,specif,8
302,order,8
616,suggest,8
321,land,8
610,calibr,8
524,need,8
631,environment,8
499,adjust,8
169,water,8
234,reli,8
921,judgement,8
344,three,8
243,condit,8
755,linear,8
247,elect,8
71,altern,8
533,median,8
404,account,8
295,regard,7
290,reserv,7
257,four,7
171,general,7
215,typic,7
5,form,7
259,project,7
913,optim,7
376,mitig,7
297,becaus,7
88,bayesian,7
27,includ,7
1,scientif,7
656,howev,7
681,pollyvot,7
479,demonstr,7
474,incorpor,7
687,vote,7
471,input,7
698,singl,7
699,procedur,7
445,generat,7
401,analyt,7
81,given,7
396,depend,7
408,overal,7
183,lead,7
811,task,7
581,prior,7
317,practic,7
97,sever,7
922,demograph,6
298,limit,6
517,real,6
615,valid,6
306,sourc,6
331,strategi,6
334,particular,6
845,employ,6
283,intern,6
840,china,6
713,produc,6
377,requir,6
718,technolog,6
563,mathemat,6
737,compani,6
751,dfa,6
423,exampl,6
250,report,6
418,maker,6
761,contribut,6
580,updat,6
272,involv,6
554,long,6
394,bias,6
848,plan,6
287,b,6
112,field,6
11,evid,6
67,view,6
23,number,6
54,relev,6
156,construct,6
24,key,6
35,onli,6
72,conduct,6
132,indic,6
288,v,5
778,due,5
389,tool,5
779,reliabl,5
618,could,5
1071,object,5
322,impact,5
723,histor,5
